"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","ELECTRICITY","TOT","GWH","A","2010",36872,
"DNK","ELECTRICITY","TOT","GWH","A","2011",33549,
"DNK","ELECTRICITY","TOT","GWH","A","2012",29200,
"DNK","ELECTRICITY","TOT","GWH","A","2013",33138,
"DNK","ELECTRICITY","TOT","GWH","A","2014",30815,
"DNK","ELECTRICITY","TOT","GWH","A","2015",27921,
"DNK","ELECTRICITY","TOT","GWH","A","2016",29081,
"DNK","ELECTRICITY","TOT","GWH","A","2017",29638.3,
"DNK","ELECTRICITY","TOT","GWH","A","2018",29314.3,
"DNK","ELECTRICITY","TOT","GWH","A","2019",28692.606,
"DNK","ELECTRICITY","TOT","GWH","A","2020",,"L"
"FIN","ELECTRICITY","TOT","GWH","A","2000",67288,
"FIN","ELECTRICITY","TOT","GWH","A","2001",71237,
"FIN","ELECTRICITY","TOT","GWH","A","2002",71632,
"FIN","ELECTRICITY","TOT","GWH","A","2003",80397,
"FIN","ELECTRICITY","TOT","GWH","A","2004",82191,
"FIN","ELECTRICITY","TOT","GWH","A","2005",67843,
"FIN","ELECTRICITY","TOT","GWH","A","2006",78643,
"FIN","ELECTRICITY","TOT","GWH","A","2007",77835,
"FIN","ELECTRICITY","TOT","GWH","A","2008",74494,
"FIN","ELECTRICITY","TOT","GWH","A","2009",69222,
"FIN","ELECTRICITY","TOT","GWH","A","2010",77220,
"FIN","ELECTRICITY","TOT","GWH","A","2011",70413,
"FIN","ELECTRICITY","TOT","GWH","A","2012",67707,
"FIN","ELECTRICITY","TOT","GWH","A","2013",68353,
"FIN","ELECTRICITY","TOT","GWH","A","2014",65458,
"FIN","ELECTRICITY","TOT","GWH","A","2015",66155,
"FIN","ELECTRICITY","TOT","GWH","A","2016",66203,
"FIN","ELECTRICITY","TOT","GWH","A","2017",65043,
"FIN","ELECTRICITY","TOT","GWH","A","2018",67533,
"FIN","ELECTRICITY","TOT","GWH","A","2019",66045,
"FIN","ELECTRICITY","TOT","GWH","A","2020",,"L"
"FRA","ELECTRICITY","TOT","GWH","A","2000",516109,
"FRA","ELECTRICITY","TOT","GWH","A","2001",525951,
"FRA","ELECTRICITY","TOT","GWH","A","2002",534837,
"FRA","ELECTRICITY","TOT","GWH","A","2003",542213,
"FRA","ELECTRICITY","TOT","GWH","A","2004",549322,
"FRA","ELECTRICITY","TOT","GWH","A","2005",550035,
"FRA","ELECTRICITY","TOT","GWH","A","2006",549179,
"FRA","ELECTRICITY","TOT","GWH","A","2007",544362,
"FRA","ELECTRICITY","TOT","GWH","A","2008",548444,
"FRA","ELECTRICITY","TOT","GWH","A","2009",512285,
"FRA","ELECTRICITY","TOT","GWH","A","2010",544299,
"FRA","ELECTRICITY","TOT","GWH","A","2011",547534,
"FRA","ELECTRICITY","TOT","GWH","A","2012",547926,
"FRA","ELECTRICITY","TOT","GWH","A","2013",558139,
"FRA","ELECTRICITY","TOT","GWH","A","2014",548862,
"FRA","ELECTRICITY","TOT","GWH","A","2015",555298,
"FRA","ELECTRICITY","TOT","GWH","A","2016",540420,
"FRA","ELECTRICITY","TOT","GWH","A","2017",537849.214,
"FRA","ELECTRICITY","TOT","GWH","A","2018",557797.811,
"FRA","ELECTRICITY","TOT","GWH","A","2019",546974.825,
"FRA","ELECTRICITY","TOT","GWH","A","2020",,"L"
"DEU","ELECTRICITY","TOT","GWH","A","2000",538489,
"DEU","ELECTRICITY","TOT","GWH","A","2001",548166,
"DEU","ELECTRICITY","TOT","GWH","A","2002",549288,
"DEU","ELECTRICITY","TOT","GWH","A","2003",569713,
"DEU","ELECTRICITY","TOT","GWH","A","2004",578577,
"DEU","ELECTRICITY","TOT","GWH","A","2005",582874,
"DEU","ELECTRICITY","TOT","GWH","A","2006",598995,
"DEU","ELECTRICITY","TOT","GWH","A","2007",600683,
"DEU","ELECTRICITY","TOT","GWH","A","2008",601150,
"DEU","ELECTRICITY","TOT","GWH","A","2009",558760,
"DEU","ELECTRICITY","TOT","GWH","A","2010",594414,
"DEU","ELECTRICITY","TOT","GWH","A","2011",576247,
"DEU","ELECTRICITY","TOT","GWH","A","2012",591431,
"DEU","ELECTRICITY","TOT","GWH","A","2013",600926,
"DEU","ELECTRICITY","TOT","GWH","A","2014",590874,
"DEU","ELECTRICITY","TOT","GWH","A","2015",610292,
"DEU","ELECTRICITY","TOT","GWH","A","2016",614332,
"DEU","ELECTRICITY","TOT","GWH","A","2017",619053,
"DEU","ELECTRICITY","TOT","GWH","A","2018",608912,
"DEU","ELECTRICITY","TOT","GWH","A","2019",578863,
"DEU","ELECTRICITY","TOT","GWH","A","2020",,"L"
"GRC","ELECTRICITY","TOT","GWH","A","2000",49863,
"GRC","ELECTRICITY","TOT","GWH","A","2001",49730,
"GRC","ELECTRICITY","TOT","GWH","A","2002",50608,
"GRC","ELECTRICITY","TOT","GWH","A","2003",54337,
"GRC","ELECTRICITY","TOT","GWH","A","2004",54889,
"GRC","ELECTRICITY","TOT","GWH","A","2005",55740,
"GRC","ELECTRICITY","TOT","GWH","A","2006",56547,
"GRC","ELECTRICITY","TOT","GWH","A","2007",59088,
"GRC","ELECTRICITY","TOT","GWH","A","2008",59407,
"GRC","ELECTRICITY","TOT","GWH","A","2009",56073,
"GRC","ELECTRICITY","TOT","GWH","A","2010",53389,
"GRC","ELECTRICITY","TOT","GWH","A","2011",53913,
"GRC","ELECTRICITY","TOT","GWH","A","2012",53654,
"GRC","ELECTRICITY","TOT","GWH","A","2013",52560,
"GRC","ELECTRICITY","TOT","GWH","A","2014",46702,
"GRC","ELECTRICITY","TOT","GWH","A","2015",47806,
"GRC","ELECTRICITY","TOT","GWH","A","2016",50227,
"GRC","ELECTRICITY","TOT","GWH","A","2017",50589.215,
"GRC","ELECTRICITY","TOT","GWH","A","2018",50781.194,
"GRC","ELECTRICITY","TOT","GWH","A","2019",45557,
"GRC","ELECTRICITY","TOT","GWH","A","2020",,"L"
"HUN","ELECTRICITY","TOT","GWH","A","2000",32259,
"HUN","ELECTRICITY","TOT","GWH","A","2001",33704,
"HUN","ELECTRICITY","TOT","GWH","A","2002",33475,
"HUN","ELECTRICITY","TOT","GWH","A","2003",31378,
"HUN","ELECTRICITY","TOT","GWH","A","2004",31262,
"HUN","ELECTRICITY","TOT","GWH","A","2005",33219,
"HUN","ELECTRICITY","TOT","GWH","A","2006",33345,
"HUN","ELECTRICITY","TOT","GWH","A","2007",37220,
"HUN","ELECTRICITY","TOT","GWH","A","2008",37383,
"HUN","ELECTRICITY","TOT","GWH","A","2009",33344,
"HUN","ELECTRICITY","TOT","GWH","A","2010",34613,
"HUN","ELECTRICITY","TOT","GWH","A","2011",33533,
"HUN","ELECTRICITY","TOT","GWH","A","2012",32351,
"HUN","ELECTRICITY","TOT","GWH","A","2013",28031,
"HUN","ELECTRICITY","TOT","GWH","A","2014",27141,
"HUN","ELECTRICITY","TOT","GWH","A","2015",28150,
"HUN","ELECTRICITY","TOT","GWH","A","2016",29548,
"HUN","ELECTRICITY","TOT","GWH","A","2017",30699,
"HUN","ELECTRICITY","TOT","GWH","A","2018",29866,
"HUN","ELECTRICITY","TOT","GWH","A","2019",32013,
"HUN","ELECTRICITY","TOT","GWH","A","2020",,"L"
"IRL","ELECTRICITY","TOT","GWH","A","2000",22685,
"IRL","ELECTRICITY","TOT","GWH","A","2001",23679,
"IRL","ELECTRICITY","TOT","GWH","A","2002",23926,
"IRL","ELECTRICITY","TOT","GWH","A","2003",24065,
"IRL","ELECTRICITY","TOT","GWH","A","2004",24413,
"IRL","ELECTRICITY","TOT","GWH","A","2005",24791,
"IRL","ELECTRICITY","TOT","GWH","A","2006",26122,
"IRL","ELECTRICITY","TOT","GWH","A","2007",27435,
"IRL","ELECTRICITY","TOT","GWH","A","2008",28927,
"IRL","ELECTRICITY","TOT","GWH","A","2009",27127,
"IRL","ELECTRICITY","TOT","GWH","A","2010",27442,
"IRL","ELECTRICITY","TOT","GWH","A","2011",26365,
"IRL","ELECTRICITY","TOT","GWH","A","2012",26479,
"IRL","ELECTRICITY","TOT","GWH","A","2013",25116,
"IRL","ELECTRICITY","TOT","GWH","A","2014",25313,
"IRL","ELECTRICITY","TOT","GWH","A","2015",27623,
"IRL","ELECTRICITY","TOT","GWH","A","2016",29692,
"IRL","ELECTRICITY","TOT","GWH","A","2017",30092.493,
"IRL","ELECTRICITY","TOT","GWH","A","2018",30352.292,
"IRL","ELECTRICITY","TOT","GWH","A","2019",30255.315,
"IRL","ELECTRICITY","TOT","GWH","A","2020",,"L"
"ITA","ELECTRICITY","TOT","GWH","A","2000",263305,
"ITA","ELECTRICITY","TOT","GWH","A","2001",265981,
"ITA","ELECTRICITY","TOT","GWH","A","2002",270799,
"ITA","ELECTRICITY","TOT","GWH","A","2003",280203,
"ITA","ELECTRICITY","TOT","GWH","A","2004",290047,
"ITA","ELECTRICITY","TOT","GWH","A","2005",290635,
"ITA","ELECTRICITY","TOT","GWH","A","2006",301259,
"ITA","ELECTRICITY","TOT","GWH","A","2007",301299,
"ITA","ELECTRICITY","TOT","GWH","A","2008",307065,
"ITA","ELECTRICITY","TOT","GWH","A","2009",281106,
"ITA","ELECTRICITY","TOT","GWH","A","2010",290746,
"ITA","ELECTRICITY","TOT","GWH","A","2011",291442,
"ITA","ELECTRICITY","TOT","GWH","A","2012",287803,
"ITA","ELECTRICITY","TOT","GWH","A","2013",278833,
"ITA","ELECTRICITY","TOT","GWH","A","2014",269148,
"ITA","ELECTRICITY","TOT","GWH","A","2015",272428,
"ITA","ELECTRICITY","TOT","GWH","A","2016",279703,
"ITA","ELECTRICITY","TOT","GWH","A","2017",285265.649,
"ITA","ELECTRICITY","TOT","GWH","A","2018",279844.619,
"ITA","ELECTRICITY","TOT","GWH","A","2019",283950.056,
"ITA","ELECTRICITY","TOT","GWH","A","2020",,"L"
"LUX","ELECTRICITY","TOT","GWH","A","2000",1132,
"LUX","ELECTRICITY","TOT","GWH","A","2001",1586,
"LUX","ELECTRICITY","TOT","GWH","A","2002",3673,
"LUX","ELECTRICITY","TOT","GWH","A","2003",3598,
"LUX","ELECTRICITY","TOT","GWH","A","2004",4103,
"LUX","ELECTRICITY","TOT","GWH","A","2005",4105,
"LUX","ELECTRICITY","TOT","GWH","A","2006",4302,
"LUX","ELECTRICITY","TOT","GWH","A","2007",3960,
"LUX","ELECTRICITY","TOT","GWH","A","2008",3517,
"LUX","ELECTRICITY","TOT","GWH","A","2009",3837,
"LUX","ELECTRICITY","TOT","GWH","A","2010",4561,
"LUX","ELECTRICITY","TOT","GWH","A","2011",3694,
"LUX","ELECTRICITY","TOT","GWH","A","2012",3787,
"LUX","ELECTRICITY","TOT","GWH","A","2013",2860,
"LUX","ELECTRICITY","TOT","GWH","A","2014",2938,
"LUX","ELECTRICITY","TOT","GWH","A","2015",2738,
"LUX","ELECTRICITY","TOT","GWH","A","2016",2168,
"LUX","ELECTRICITY","TOT","GWH","A","2017",2204.811,
"LUX","ELECTRICITY","TOT","GWH","A","2018",2171.402,
"LUX","ELECTRICITY","TOT","GWH","A","2019",1877.143,
"LUX","ELECTRICITY","TOT","GWH","A","2020",,"L"
"NLD","ELECTRICITY","TOT","GWH","A","2000",85998,
"NLD","ELECTRICITY","TOT","GWH","A","2001",89812,
"NLD","ELECTRICITY","TOT","GWH","A","2002",92041,
"NLD","ELECTRICITY","TOT","GWH","A","2003",92840,
"NLD","ELECTRICITY","TOT","GWH","A","2004",97043,
"NLD","ELECTRICITY","TOT","GWH","A","2005",95598,
"NLD","ELECTRICITY","TOT","GWH","A","2006",94489,
"NLD","ELECTRICITY","TOT","GWH","A","2007",100751,
"NLD","ELECTRICITY","TOT","GWH","A","2008",103187,
"NLD","ELECTRICITY","TOT","GWH","A","2009",108767,
"NLD","ELECTRICITY","TOT","GWH","A","2010",114825,
"NLD","ELECTRICITY","TOT","GWH","A","2011",109145,
"NLD","ELECTRICITY","TOT","GWH","A","2012",99174,
"NLD","ELECTRICITY","TOT","GWH","A","2013",97450,
"NLD","ELECTRICITY","TOT","GWH","A","2014",98715,
"NLD","ELECTRICITY","TOT","GWH","A","2015",105749,
"NLD","ELECTRICITY","TOT","GWH","A","2016",110989,
"NLD","ELECTRICITY","TOT","GWH","A","2017",113425.137,
"NLD","ELECTRICITY","TOT","GWH","A","2018",110692.105,
"NLD","ELECTRICITY","TOT","GWH","A","2019",117571.759,
"NLD","ELECTRICITY","TOT","GWH","A","2020",,"L"
"POL","ELECTRICITY","TOT","GWH","A","2000",132214,
"POL","ELECTRICITY","TOT","GWH","A","2001",132666,
"POL","ELECTRICITY","TOT","GWH","A","2002",131374,
"POL","ELECTRICITY","TOT","GWH","A","2003",138367,
"POL","ELECTRICITY","TOT","GWH","A","2004",140789,
"POL","ELECTRICITY","TOT","GWH","A","2005",143615,
"POL","ELECTRICITY","TOT","GWH","A","2006",147685,
"POL","ELECTRICITY","TOT","GWH","A","2007",145393,
"POL","ELECTRICITY","TOT","GWH","A","2008",141498,
"POL","ELECTRICITY","TOT","GWH","A","2009",137908,
"POL","ELECTRICITY","TOT","GWH","A","2010",143457,
"POL","ELECTRICITY","TOT","GWH","A","2011",148913,
"POL","ELECTRICITY","TOT","GWH","A","2012",147649,
"POL","ELECTRICITY","TOT","GWH","A","2013",150079,
"POL","ELECTRICITY","TOT","GWH","A","2014",145214,
"POL","ELECTRICITY","TOT","GWH","A","2015",150695,
"POL","ELECTRICITY","TOT","GWH","A","2016",152003,
"POL","ELECTRICITY","TOT","GWH","A","2017",154869.344,
"POL","ELECTRICITY","TOT","GWH","A","2018",155259.671,
"POL","ELECTRICITY","TOT","GWH","A","2019",151362.969,
"POL","ELECTRICITY","TOT","GWH","A","2020",,"L"
"PRT","ELECTRICITY","TOT","GWH","A","2000",42215,
"PRT","ELECTRICITY","TOT","GWH","A","2001",44844,
"PRT","ELECTRICITY","TOT","GWH","A","2002",44390,
"PRT","ELECTRICITY","TOT","GWH","A","2003",45375,
"PRT","ELECTRICITY","TOT","GWH","A","2004",43482,
"PRT","ELECTRICITY","TOT","GWH","A","2005",44984,
"PRT","ELECTRICITY","TOT","GWH","A","2006",47493,
"PRT","ELECTRICITY","TOT","GWH","A","2007",45908,
"PRT","ELECTRICITY","TOT","GWH","A","2008",44584,
"PRT","ELECTRICITY","TOT","GWH","A","2009",48718,
"PRT","ELECTRICITY","TOT","GWH","A","2010",52783,
"PRT","ELECTRICITY","TOT","GWH","A","2011",51128,
"PRT","ELECTRICITY","TOT","GWH","A","2012",45254,
"PRT","ELECTRICITY","TOT","GWH","A","2013",50412,
"PRT","ELECTRICITY","TOT","GWH","A","2014",51527,
"PRT","ELECTRICITY","TOT","GWH","A","2015",50940,
"PRT","ELECTRICITY","TOT","GWH","A","2016",58862,
"PRT","ELECTRICITY","TOT","GWH","A","2017",57668.978,
"PRT","ELECTRICITY","TOT","GWH","A","2018",58197.215,
"PRT","ELECTRICITY","TOT","GWH","A","2019",52185.2,
"PRT","ELECTRICITY","TOT","GWH","A","2020",,"L"
"SVK","ELECTRICITY","TOT","GWH","A","2000",27744,
"SVK","ELECTRICITY","TOT","GWH","A","2001",29613,
"SVK","ELECTRICITY","TOT","GWH","A","2002",29980,
"SVK","ELECTRICITY","TOT","GWH","A","2003",28715,
"SVK","ELECTRICITY","TOT","GWH","A","2004",28153,
"SVK","ELECTRICITY","TOT","GWH","A","2005",29291,
"SVK","ELECTRICITY","TOT","GWH","A","2006",28906,
"SVK","ELECTRICITY","TOT","GWH","A","2007",25766,
"SVK","ELECTRICITY","TOT","GWH","A","2008",26645,
"SVK","ELECTRICITY","TOT","GWH","A","2009",24102,
"SVK","ELECTRICITY","TOT","GWH","A","2010",25431,
"SVK","ELECTRICITY","TOT","GWH","A","2011",26090,
"SVK","ELECTRICITY","TOT","GWH","A","2012",26137,
"SVK","ELECTRICITY","TOT","GWH","A","2013",27172,
"SVK","ELECTRICITY","TOT","GWH","A","2014",25007,
"SVK","ELECTRICITY","TOT","GWH","A","2015",24758,
"SVK","ELECTRICITY","TOT","GWH","A","2016",24997,
"SVK","ELECTRICITY","TOT","GWH","A","2017",25692,
"SVK","ELECTRICITY","TOT","GWH","A","2018",24863,
"SVK","ELECTRICITY","TOT","GWH","A","2019",26366,
"SVK","ELECTRICITY","TOT","GWH","A","2020",,"L"
"ESP","ELECTRICITY","TOT","GWH","A","2000",214437,
"ESP","ELECTRICITY","TOT","GWH","A","2001",225952,
"ESP","ELECTRICITY","TOT","GWH","A","2002",232728,
"ESP","ELECTRICITY","TOT","GWH","A","2003",250187,
"ESP","ELECTRICITY","TOT","GWH","A","2004",268709,
"ESP","ELECTRICITY","TOT","GWH","A","2005",282139,
"ESP","ELECTRICITY","TOT","GWH","A","2006",287713,
"ESP","ELECTRICITY","TOT","GWH","A","2007",293230,
"ESP","ELECTRICITY","TOT","GWH","A","2008",301545,
"ESP","ELECTRICITY","TOT","GWH","A","2009",283447,
"ESP","ELECTRICITY","TOT","GWH","A","2010",290951,
"ESP","ELECTRICITY","TOT","GWH","A","2011",283278,
"ESP","ELECTRICITY","TOT","GWH","A","2012",286574,
"ESP","ELECTRICITY","TOT","GWH","A","2013",275399,
"ESP","ELECTRICITY","TOT","GWH","A","2014",268380,
"ESP","ELECTRICITY","TOT","GWH","A","2015",269751,
"ESP","ELECTRICITY","TOT","GWH","A","2016",264344,
"ESP","ELECTRICITY","TOT","GWH","A","2017",264918,
"ESP","ELECTRICITY","TOT","GWH","A","2018",263827,
"ESP","ELECTRICITY","TOT","GWH","A","2019",263796,
"ESP","ELECTRICITY","TOT","GWH","A","2020",,"L"
"SWE","ELECTRICITY","TOT","GWH","A","2000",141594,
"SWE","ELECTRICITY","TOT","GWH","A","2001",157637,
"SWE","ELECTRICITY","TOT","GWH","A","2002",143235,
"SWE","ELECTRICITY","TOT","GWH","A","2003",132537,
"SWE","ELECTRICITY","TOT","GWH","A","2004",148541,
"SWE","ELECTRICITY","TOT","GWH","A","2005",154611,
"SWE","ELECTRICITY","TOT","GWH","A","2006",140371,
"SWE","ELECTRICITY","TOT","GWH","A","2007",145129,
"SWE","ELECTRICITY","TOT","GWH","A","2008",146412,
"SWE","ELECTRICITY","TOT","GWH","A","2009",133349,
"SWE","ELECTRICITY","TOT","GWH","A","2010",145264,
"SWE","ELECTRICITY","TOT","GWH","A","2011",146965,
"SWE","ELECTRICITY","TOT","GWH","A","2012",162829,
"SWE","ELECTRICITY","TOT","GWH","A","2013",149539,
"SWE","ELECTRICITY","TOT","GWH","A","2014",149957,
"SWE","ELECTRICITY","TOT","GWH","A","2015",159045,
"SWE","ELECTRICITY","TOT","GWH","A","2016",152531,
"SWE","ELECTRICITY","TOT","GWH","A","2017",160526,
"SWE","ELECTRICITY","TOT","GWH","A","2018",159677,
"SWE","ELECTRICITY","TOT","GWH","A","2019",165645,
"SWE","ELECTRICITY","TOT","GWH","A","2020",,"L"
"EST","ELECTRICITY","TOT","GWH","A","2000",7591,
"EST","ELECTRICITY","TOT","GWH","A","2001",7590,
"EST","ELECTRICITY","TOT","GWH","A","2002",7634,
"EST","ELECTRICITY","TOT","GWH","A","2003",9101,
"EST","ELECTRICITY","TOT","GWH","A","2004",9232,
"EST","ELECTRICITY","TOT","GWH","A","2005",9114,
"EST","ELECTRICITY","TOT","GWH","A","2006",8729,
"EST","ELECTRICITY","TOT","GWH","A","2007",10954,
"EST","ELECTRICITY","TOT","GWH","A","2008",9498,
"EST","ELECTRICITY","TOT","GWH","A","2009",7884,
"EST","ELECTRICITY","TOT","GWH","A","2010",11732,
"EST","ELECTRICITY","TOT","GWH","A","2011",11667,
"EST","ELECTRICITY","TOT","GWH","A","2012",10527,
"EST","ELECTRICITY","TOT","GWH","A","2013",11823,
"EST","ELECTRICITY","TOT","GWH","A","2014",11013,
"EST","ELECTRICITY","TOT","GWH","A","2015",9062,
"EST","ELECTRICITY","TOT","GWH","A","2016",10434,
"EST","ELECTRICITY","TOT","GWH","A","2017",11248.492,
"EST","ELECTRICITY","TOT","GWH","A","2018",10932.802,
"EST","ELECTRICITY","TOT","GWH","A","2019",6600.1,
"EST","ELECTRICITY","TOT","GWH","A","2020",,"L"
"SVN","ELECTRICITY","TOT","GWH","A","2000",12795,
"SVN","ELECTRICITY","TOT","GWH","A","2001",13591,
"SVN","ELECTRICITY","TOT","GWH","A","2002",13693,
"SVN","ELECTRICITY","TOT","GWH","A","2003",12895,
"SVN","ELECTRICITY","TOT","GWH","A","2004",14308,
"SVN","ELECTRICITY","TOT","GWH","A","2005",14149,
"SVN","ELECTRICITY","TOT","GWH","A","2006",14117,
"SVN","ELECTRICITY","TOT","GWH","A","2007",14044,
"SVN","ELECTRICITY","TOT","GWH","A","2008",15357,
"SVN","ELECTRICITY","TOT","GWH","A","2009",15375,
"SVN","ELECTRICITY","TOT","GWH","A","2010",15410,
"SVN","ELECTRICITY","TOT","GWH","A","2011",15001,
"SVN","ELECTRICITY","TOT","GWH","A","2012",14705,
"SVN","ELECTRICITY","TOT","GWH","A","2013",15117,
"SVN","ELECTRICITY","TOT","GWH","A","2014",16486,
"SVN","ELECTRICITY","TOT","GWH","A","2015",14187,
"SVN","ELECTRICITY","TOT","GWH","A","2016",15546,
"SVN","ELECTRICITY","TOT","GWH","A","2017",15396.876,
"SVN","ELECTRICITY","TOT","GWH","A","2018",15441.97,
"SVN","ELECTRICITY","TOT","GWH","A","2019",15224.354,
"SVN","ELECTRICITY","TOT","GWH","A","2020",,"L"
"LVA","ELECTRICITY","TOT","GWH","A","2000",3690,
"LVA","ELECTRICITY","TOT","GWH","A","2001",3690,
"LVA","ELECTRICITY","TOT","GWH","A","2002",3527,
"LVA","ELECTRICITY","TOT","GWH","A","2003",3470,
"LVA","ELECTRICITY","TOT","GWH","A","2004",4192,
"LVA","ELECTRICITY","TOT","GWH","A","2005",4417,
"LVA","ELECTRICITY","TOT","GWH","A","2006",4453,
"LVA","ELECTRICITY","TOT","GWH","A","2007",4404,
"LVA","ELECTRICITY","TOT","GWH","A","2008",4906,
"LVA","ELECTRICITY","TOT","GWH","A","2009",5191,
"LVA","ELECTRICITY","TOT","GWH","A","2010",6069,
"LVA","ELECTRICITY","TOT","GWH","A","2011",5564,
"LVA","ELECTRICITY","TOT","GWH","A","2012",5719,
"LVA","ELECTRICITY","TOT","GWH","A","2013",5800,
"LVA","ELECTRICITY","TOT","GWH","A","2014",4732,
"LVA","ELECTRICITY","TOT","GWH","A","2015",5093,
"LVA","ELECTRICITY","TOT","GWH","A","2016",5927,
"LVA","ELECTRICITY","TOT","GWH","A","2017",7024.859,
"LVA","ELECTRICITY","TOT","GWH","A","2018",6203.231,
"LVA","ELECTRICITY","TOT","GWH","A","2019",5962.656,
"LVA","ELECTRICITY","TOT","GWH","A","2020",,"L"
"LTU","ELECTRICITY","TOT","GWH","A","2000",10039,
"LTU","ELECTRICITY","TOT","GWH","A","2001",13218,
"LTU","ELECTRICITY","TOT","GWH","A","2002",16078,
"LTU","ELECTRICITY","TOT","GWH","A","2003",17878,
"LTU","ELECTRICITY","TOT","GWH","A","2004",17706,
